Name,Users,search_provider,homepage,background,content_script,browser_action
X-Men HD Wallpapers Marvel New Tab Theme, 8 , True , False , True , False , True
HD longskate wallpapers new tab, 4 , True , False , False , False , True
hao123 Tabs, 1 , False , True , True , False , False
Realm Royale HD Wallpapers Battle Royale, 43 , True , False , True , False , True
Super Meat Boy Game Wallpapers HD New Tab,  , True , False , True , False , True
HD Rainbow wallpapers, 2 , True , False , False , False , True
cdopngbmlnkehlledkhgbfagnmicaabf.json, 594 , True , False , True , False , True
cdpamogdcldmdhpjcgkdbbnddehclmdl.json, 2327 , False , True , True , False , True
Golden State Warriors HD Wallpapers NBA Theme, 499 , True , False , True , False , True
Dishonored HD Tab, 66 , True , True , True , False , True
Only the Brave HD Tab, 4 , True , True , True , False , True
HD Prey The Game Wallpapers, 18 , True , True , True , False , True
hao123 Tabs, 5 , False , True , True , False , False
StartXXL, 3 , True , True , True , False , False
onlineFilms Search, 12394 , True , False , True , False , True
Cats and Dogs Extension, 16620 , True , False , True , False , True
Linkin Park HD Wallpapers Chester Tribute, 212 , True , False , True , False , True
cfhgeehjbjiakdbfnpbheadpafbdecdl.json, 2682 , False , True , True , False , True
privacyZone, 14979 , True , False , True , False , True
Jamie Chung HD New Tab, 1 , True , True , True , False , True
fiftiend, 6697 , True , False , True , False , True
Metal Wallpapers FullHD New Tab,  , True , False , True , False , True
Tesla vs Infiniti HD Wallpapers New Tab, 15 , True , False , False , False , True
Legends of tomorrow Wallpapers HD|Search, 91 , True , False , False , False , True
Homepage love2liveblog.pl, 2 , False , True , True , False , True
Bird Wallpapers, 9 , True , False , False , False , True
Paladins HD Wallpaper Games Theme, 218 , True , False , True , False , True
The Technomancer HD Wallpapers|Private Search, 17 , True , False , False , False , True
Alpha Shoppers Default Search, 313 , True , False , True , False , False
playNet Search, 11760 , True , False , True , False , True
City Wallpapers FullHD New Tab,  , True , False , True , False , True
filmsCenter Search, 34522 , True , False , True , False , True
New Moon Tab, 2 , True , True , True , False , True
Know It, 7 , True , False , True , False , False
EXO Wallpapers FullHD New Tab,  , True , False , True , False , True
Multi Web Search, 1468 , True , False , True , False , True
NS Mura Start, 25 , False , True , False , False , False
Fortnite BattleRoyale Wallpapers & New Tab, 179 , True , False , True , False , False
Cricket HD Wallpaper Sport New Tab Theme, 38 , True , False , True , False , True
Firewatch Game Wallpapers New Tab, 7 , True , False , True , False , True
Battlefield 1 Wallpapers., 2 , True , False , False , False , True
12 Strong HD Background Tab, 3 , True , True , True , False , True
My Browser Start Page, 3225 , False , False , False , False , True
Jaleco New Tab, 2566 , True , True , False , False , False
Porsche vs Zenvo HD Wallpapers New Tab, 17 , True , False , False , False , True
Search Ace, 1 , True , False , True , False , True
Pace-Media, 1 , False , True , True , False , True
Search Selector, 6077 , True , False , True , False , True
The Walking Dead 2 Game HD Wallpapers New Tab, 41 , True , False , False , False , True
Search Swapper, 2840 , True , False , True , False , True
MyAllSearch Search for Chrome, 5 , False , True , False , False , True
Total War:Warhammer II Wallpapers, 16 , True , False , False , False , True
ilove.fr, 63 , True , True , True , False , False
Mindhunter Wallpapers and New Tab, 1 , True , True , True , False , True
No Game No Life Wallpapers FullHD New Tab, 30 , True , False , True , False , True
Call of Duty Wallpapers FullHD New Tab, 1 , True , False , True , False , True
gw6-2, 1 , True , True , False , False , False
ckcfbbdgklldmefeloodijoalddocflb.json, 7 , True , False , True , False , True
Waterfall Wallpaper, 137 , True , False , False , False , True
Outlast Game Wallpapers FullHD New Tab,  , True , False , True , False , True
Black Pink HD Wallpapers K-Pop Music THeme, 755 , True , False , True , False , True
Tesla vs Saab HD Wallpapers New Tab, 11 , True , False , False , False , True
elleSearch, 27 , True , True , True , False , True
Open Country Landscapes HD Wallpapers Theme, 18 , True , False , True , False , True
World of Tanks Game HD Wallpapers New Tab, 128 , True , False , False , False , True
Your Nature tab!, 4 , True , False , True , False , True
DownloadMuze Search Plus, 226 , True , False , True , False , True
Baht Find, 1 , True , False , False , False , True
InfoFilms, 10 , True , False , True , False , False
hao123 Tabs, 4824 , False , True , True , False , False
AS Roma HD Wallpapers New Tab, 21 , True , False , False , False , True
Tesla vs McLaren HD Wallpapers New Tab, 9 , True , False , False , False , True
Hello Winter HD Wallpapers Nature and Snow, 1 , True , False , True , False , True
SurFilters (results by Bing), 2 , True , False , True , False , False
Poonama, 7216 , True , False , True , False , False
New Dishonored: Death of the Outsider Tab, 2 , True , True , True , False , True
eSpeedDownload Search, 122872 , True , False , True , False , False
New Tab Resident Evil 7 Biohazard Background, 24 , True , True , True , False , True
PPQ Wallpapers FullHD New Tab,  , True , False , True , False , True
Marshmello HD Wallpapers DJ Music Themes, 1263 , True , False , True , False , True
SearchLock India, 37383 , True , False , True , False , False
Mouse Tab, 1169 , True , False , False , False , False
My Private Search, 244 , False , True , True , False , True
LoL Yasuo HD New Tab, 356 , True , True , True , False , True
cnkipcjcociphclifljcppjjoadphdkp.json, 8 , True , False , True , False , True
Eminem HD Wallpapers Hip Hop Theme, 164 , True , False , True , False , True
NBA 2K17 Game Wallpapers., 64 , True , False , False , False , True
EMAZE, 263 , True , False , True , False , False
Golden retriever HD Wallpapers Dogs & Puppies, 45 , True , False , True , False , True
gamingJunkie Search, 12218 , True , False , True , False , True
StartMeIn, 14484 , True , False , True , False , False
MomentumLiteTab, 2462 , True , False , True , False , False
Full HD The Godfather New Tab, 83 , True , True , True , False , True
Halo Wallpapers FullHD New Tab, 3 , True , False , True , False , True
Cute Dogs and Puppies Wallpapers FullHD , 1 , True , False , True , False , True
